"Year","Country Name","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Exports of goods and services (% of GDP)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Renewable internal freshwater resources per capita (cubic meters)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Workers' remittances and compensation of employees, received (current US$)"
2007,"France","FRA",6.885,2.20206944380121,26.5242042308025,1.96,1.5946274661588E11,2.58984109821526E12,2.17284161492333,38790.0,33850.0,2.46675766128967E12,2.0888215003284E12,87.0,28.4479544497888,20.5696825922649,2.46414382302052,51.1626933133369,80.9658536585366,45.2669850496965,2.33971192366302,89.7111112321129,4.3,0.576144979932688,6.1707072E7,0.4,2892.69923551064,77.2282479639339,551500.0,7.0,1.374541E10
2007,"Gabon","GAB",89.914,4.84751438675849,64.7230987219223,3.35,2.69324270257148E8,1.15675938464363E10,5.55335388659583,6450.0,12320.0,9.17517742831642E9,1.75144215730948E10,55.0,35.9071117636318,60.2441800791892,5.22463923812566,5.76700457562583,60.3017073170732,72.6166574614635,1.06422009081585,82.2149798647145,91.0,1.86476009449167,1421882.0,5.9,115340.091512517,34.9083055340524,267670.0,58.0,1.103E7
2007,"Gambia, The","GMB",88.132,28.7084689730838,33.3,5.098,6.845E7,6.43509547738693E8,6.30500000000001,330.0,1200.0,5.40908797306261E8,1.93914030194672E9,85.0,49.8,14.7933112322397,5.68504439454046,6.20503741852418,55.750243902439,51.8192777670188,0.705927920386324,49.5429307153778,108.6,2.80128146539877,1615510.0,0.9,1856.99871867088,56.4982197946765,11300.0,32.0,4.7334E7
2007,"Georgia","GEO",44.651,10.9247656860268,31.5153486474983,1.407,1.72827E9,1.01754661290398E10,12.4298079289328,2090.0,4680.0,9.17752876989744E9,2.05855972438643E10,97.0,57.7416560370701,24.0753707276142,9.64044508064042,8.18444547805231,70.8258536585366,63.4565524381469,9.15368157907639,59.1033819209147,30.2,-0.778879123108261,4398587.55202644,0.1,13215.6059899772,64.9998635863589,69700.0,11.0,6.9549E8
2007,"Germany","DEU",7.732,0.91762127518509,46.7043485436092,1.39,5.15432992141293E10,3.31736559728457E12,2.48488513250418,38990.0,34740.0,3.20750124892296E12,2.85767990993272E12,94.0,39.6971697334764,30.09180816973,1.84444403665063,72.2897820847449,79.6853658536586,71.6845495008612,1.28269659212806,118.090361279489,4.4,-0.13130570814061,8.2268357E7,0.1,1300.62157434358,68.9905705550849,357050.0,18.0,9.83944E9
2007,"Ghana","GHA",64.036,33.9603791888141,33.7381462308858,4.308,9.7038E8,1.49893617021277E10,6.0999994750558,600.0,1350.0,1.37632757610075E10,3.09612654852251E10,95.0,60.1771902702756,26.0670085806703,13.841135485483,3.84767307161403,56.4931707317073,81.8420440028389,0.837473385379702,33.2476249582112,115.2,2.11047419719965,2.2870966E7,1.9,1324.82379624892,39.9726122305156,238540.0,42.0,1.17364E8
2007,"Greece","GRC",8.889,3.58537099171715,22.1818250114545,1.38,1.95871455632603E9,3.13353635169167E11,4.00276621554529,25740.0,27830.0,2.88090719287698E11,3.11522287531605E11,88.0,35.3850010941316,23.0726423178762,2.87526690584036,32.8630637111303,79.690243902439,31.8688557661342,3.27409590008591,109.841061214294,4.1,0.401990960561374,1.1193366E7,0.2,5181.64062534898,73.3419866904067,131960.0,38.0,2.483721E9
2007,"Honduras","HND",93.1,13.384140866132,51.4897704204842,3.308,8.1592E8,1.22342166140834E10,6.30038778578619,1590.0,3610.0,1.1310437154895E10,2.56463473833703E10,89.0,78.4044344054145,28.0641907727885,7.00228229266466,5.97090093075112,70.2070731707317,115.663270043058,0.686375575755744,58.9099142437735,23.9,1.92009955935395,7103785.59147592,0.7,13503.9267112888,58.5516683610795,112090.0,21.0,2.624692E9
2007,"Hungary","HUN",20.172,3.96164141486912,80.3638703494057,1.32,3.72309511476652E10,1.38757191934686E11,1.2,11670.0,17470.0,1.17317882887795E11,1.75644405076483E11,99.0,78.7728402605948,29.7282791529192,5.89692031658689,51.864857823063,73.0885365853659,137.857240841282,1.28026929985217,109.687463329548,6.8,-0.154915158060948,1.005578E7,0.1,596.671764895413,66.3100794322117,93030.0,16.0,2.53044E9
2007,"India","IND",68.141,18.111931517844,21.159355548969,2.68,2.295E10,1.176890254664E12,9.06039655400642,950.0,2740.0,1.07110839774933E12,3.08256971675498E12,67.0,24.7234195706483,29.5053197349066,4.88767741428384,7.20136347673374,64.7458536585366,30.9113784023867,2.46856078248719,20.7701547584511,71.8,1.34038183992227,1.12478699709709E9,0.3,1120.69218727925,52.3827487472494,3287260.0,33.0,3.8666E10
